,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
21,1e-05,1024.0,2.0,0.0,0.7964056134223938,1.0430902242660522,0.7352314591407776,0.6299999952316284
22,1e-05,1024.0,2.0,1e-05,0.8515555262565613,1.0743443965911865,0.7219444513320923,0.627407431602478
23,1e-05,1024.0,2.0,0.0001,1.0089075565338135,1.2249001264572144,0.7204166650772095,0.6299999952316284
24,1e-05,1024.0,3.0,0.0,0.6851921081542969,0.9712246656417847,0.7657407522201538,0.6637036800384521
25,1e-05,1024.0,3.0,1e-05,0.8593149781227112,1.0391594171524048,0.7082407474517822,0.6388888955116272
26,1e-05,1024.0,3.0,0.0001,0.9635675549507141,1.2014960050582886,0.7399073839187622,0.6588888764381409
27,0.0001,256.0,1.0,0.0,1.168899416923523,1.2939770221710205,0.5884259343147278,0.5314815044403076
28,0.0001,256.0,1.0,1e-05,1.0528290271759033,1.2340192794799805,0.6438888907432556,0.5666666626930237
29,0.0001,256.0,1.0,0.0001,0.9838424324989319,1.1858304738998413,0.6707870364189148,0.5974074006080627
30,0.0001,256.0,2.0,0.0,0.9636152982711792,1.114194631576538,0.6603703498840332,0.6081481575965881
31,0.0001,256.0,2.0,1e-05,1.0142176151275635,1.1380313634872437,0.6391666531562805,0.5925925970077515
32,0.0001,256.0,2.0,0.0001,0.9286049008369446,1.1037348508834839,0.6851851940155029,0.6251851916313171
33,0.0001,256.0,3.0,0.0,0.6419768333435059,0.9598795771598816,0.7799999713897705,0.6662963032722473
34,0.0001,256.0,3.0,1e-05,0.7752760648727417,0.9960708618164062,0.7276852130889893,0.6499999761581421
35,0.0001,256.0,3.0,0.0001,0.7534765601158142,1.0088324546813965,0.7542129755020142,0.6688888669013977
36,0.0001,512.0,1.0,0.0,1.0578669309616089,1.1924906969070435,0.6299536824226379,0.5814814567565918
37,0.0001,512.0,1.0,1e-05,1.0657860040664673,1.2219700813293457,0.6319444179534912,0.5722222328186035
38,0.0001,512.0,1.0,0.0001,1.047192931175232,1.2142047882080078,0.6528703570365906,0.5796296000480652
39,0.0001,512.0,2.0,0.0,0.7418709993362427,1.0054043531417847,0.7414814829826355,0.6451851725578308
40,0.0001,512.0,2.0,1e-05,0.9288811087608337,1.0788795948028564,0.6747221946716309,0.614814817905426
41,0.0001,512.0,2.0,0.0001,1.0155012607574463,1.134947419166565,0.6494444608688354,0.5992592573165894
42,0.0001,512.0,3.0,0.0,0.8184313774108887,0.9922853112220764,0.7068055272102356,0.6433333158493042
43,0.0001,512.0,3.0,1e-05,0.7863591313362122,0.9912602305412292,0.7254629731178284,0.6485185027122498
44,0.0001,512.0,3.0,0.0001,0.7908818125724792,1.0256445407867432,0.7412499785423279,0.6592592597007751
45,0.0001,1024.0,1.0,0.0,0.9473022222518921,1.1469743251800537,0.6769444346427917,0.5988888740539551
46,0.0001,1024.0,1.0,1e-05,1.0411258935928345,1.1862496137619019,0.639629602432251,0.5859259366989136
47,0.0001,1024.0,1.0,0.0001,0.9758318662643433,1.1864588260650635,0.6825925707817078,0.6018518805503845
48,0.0001,1024.0,2.0,0.0,0.7263652086257935,0.9979134798049927,0.7461574077606201,0.6499999761581421
49,0.0001,1024.0,2.0,1e-05,0.7529889345169067,1.0163147449493408,0.7409259080886841,0.6485185027122498
50,0.0001,1024.0,2.0,0.0001,0.7395464777946472,1.0482254028320312,0.756157398223877,0.6551851630210876
51,0.0001,1024.0,3.0,0.0,0.6339155435562134,0.9577398896217346,0.7753240466117859,0.6751852035522461
52,0.0001,1024.0,3.0,1e-05,0.7734702229499817,0.9646520614624023,0.7288426160812378,0.652222216129303
53,0.0001,1024.0,3.0,0.0001,0.7032530903816223,1.0066114664077759,0.7762036919593811,0.6837037205696106
54,0.001,256.0,1.0,0.0,1.2057695388793945,1.2854286432266235,0.5710185170173645,0.5422222018241882
55,0.001,256.0,1.0,1e-05,1.4415113925933838,1.4700908660888672,0.4643981456756592,0.45222222805023193
56,0.001,256.0,1.0,0.0001,1.319004774093628,1.387034296989441,0.5393981337547302,0.5177778005599976
57,0.001,256.0,2.0,0.0,0.9145587086677551,1.0468981266021729,0.6703703999519348,0.6299999952316284
58,0.001,256.0,2.0,1e-05,0.9019642472267151,1.0237541198730469,0.6825000047683716,0.6414814591407776
59,0.001,256.0,2.0,0.0001,1.0312196016311646,1.1113512516021729,0.6422685384750366,0.6251851916313171
60,0.001,256.0,3.0,0.0,0.8235301971435547,0.9727251529693604,0.699999988079071,0.6503703594207764
61,0.001,256.0,3.0,1e-05,0.7951710820198059,0.9715974926948547,0.7156481742858887,0.6625925898551941
62,0.001,256.0,3.0,0.0001,0.8384855389595032,1.0008440017700195,0.7073147892951965,0.6596296429634094
63,0.001,512.0,1.0,0.0,1.2242982387542725,1.2905964851379395,0.5687962770462036,0.550000011920929
64,0.001,512.0,1.0,1e-05,1.3028234243392944,1.3539842367172241,0.5327314734458923,0.517037034034729
65,0.001,512.0,1.0,0.0001,1.28803288936615,1.3402074575424194,0.5481481552124023,0.5303703546524048
