,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
34,0.0001,256.0,3.0,1e-05,0.6809632778167725,0.9857156872749329,0.7629629373550415,0.661481499671936
35,0.0001,256.0,3.0,0.0001,0.8113527297973633,1.0277265310287476,0.7266666889190674,0.6492592692375183
36,0.0001,512.0,1.0,0.0,1.0303705930709839,1.1903411149978638,0.6406944394111633,0.568148136138916
37,0.0001,512.0,1.0,1e-05,0.9574809074401855,1.171063780784607,0.6682870388031006,0.597777783870697
38,0.0001,512.0,1.0,0.0001,0.9415334463119507,1.1773279905319214,0.6929629445075989,0.5929629802703857
39,0.0001,512.0,2.0,0.0,0.784174919128418,1.0284868478775024,0.7258796095848083,0.6399999856948853
40,0.0001,512.0,2.0,1e-05,0.6882277727127075,1.0086902379989624,0.7707407474517822,0.661481499671936
41,0.0001,512.0,2.0,0.0001,0.9020511507987976,1.080793857574463,0.6989814639091492,0.6299999952316284
42,0.0001,512.0,3.0,0.0,0.7801204323768616,0.991443932056427,0.7242129445075989,0.6374074220657349
43,0.0001,512.0,3.0,1e-05,0.6617426872253418,0.9696031212806702,0.7706944346427917,0.6748148202896118
44,0.0001,512.0,3.0,0.0001,0.7254769802093506,1.018143892288208,0.7663425803184509,0.6603703498840332
45,0.0001,1024.0,1.0,0.0,0.9457607865333557,1.1473861932754517,0.6723148226737976,0.601111114025116
46,0.0001,1024.0,1.0,1e-05,0.9356840252876282,1.1372696161270142,0.6750925779342651,0.6059259176254272
47,0.0001,1024.0,1.0,0.0001,0.9593452215194702,1.173264503479004,0.6838425993919373,0.6074073910713196
48,0.0001,1024.0,2.0,0.0,0.7182268500328064,1.0085440874099731,0.7484722137451172,0.6499999761581421
49,0.0001,1024.0,2.0,1e-05,0.6459851264953613,0.9951122403144836,0.7795370221138,0.6651852130889893
50,0.0001,1024.0,2.0,0.0001,0.8309354186058044,1.0736116170883179,0.7214815020561218,0.6381481289863586
51,0.0001,1024.0,3.0,0.0,0.6879505515098572,0.9516777992248535,0.7581481337547302,0.665925920009613
52,0.0001,1024.0,3.0,1e-05,0.681148111820221,0.97064208984375,0.7605555653572083,0.6707407236099243
53,0.0001,1024.0,3.0,0.0001,0.7909245491027832,1.0093353986740112,0.7448611259460449,0.6737037301063538
54,0.001,256.0,1.0,0.0,1.2679306268692017,1.3528354167938232,0.551203727722168,0.5181481242179871
55,0.001,256.0,1.0,1e-05,1.2094106674194336,1.2786858081817627,0.5700926184654236,0.5392592549324036
56,0.001,256.0,1.0,0.0001,1.2921568155288696,1.3700412511825562,0.5590741038322449,0.5318518280982971
57,0.001,256.0,2.0,0.0,0.9713538289070129,1.060072660446167,0.6495370268821716,0.6155555844306946
58,0.001,256.0,2.0,1e-05,0.9954730272293091,1.0794860124588013,0.6515740752220154,0.6311110854148865
59,0.001,256.0,2.0,0.0001,1.102492332458496,1.1489582061767578,0.6214814782142639,0.5996296405792236
60,0.001,256.0,3.0,0.0,0.9364407062530518,1.008238434791565,0.6588425636291504,0.6340740919113159
61,0.001,256.0,3.0,1e-05,0.9278988242149353,1.0087509155273438,0.6646296381950378,0.6392592787742615
62,0.001,256.0,3.0,0.0001,0.8768322467803955,1.0157123804092407,0.6944444179534912,0.653333306312561
63,0.001,512.0,1.0,0.0,1.290616750717163,1.3393266201019287,0.5283796191215515,0.5040740966796875
64,0.001,512.0,1.0,1e-05,1.2567065954208374,1.3198081254959106,0.5594907402992249,0.5362963080406189
65,0.001,512.0,1.0,0.0001,1.2934869527816772,1.341495156288147,0.5522685050964355,0.5292592644691467
66,0.001,512.0,2.0,0.0,1.057919979095459,1.1112334728240967,0.6238425970077515,0.5988888740539551
67,0.001,512.0,2.0,1e-05,0.9305432438850403,1.043669581413269,0.668055534362793,0.6340740919113159
68,0.001,512.0,2.0,0.0001,1.0151586532592773,1.0970572233200073,0.6473610997200012,0.6203703880310059
69,0.001,512.0,3.0,0.0,0.8720763921737671,0.9994345903396606,0.6801851987838745,0.644444465637207
70,0.001,512.0,3.0,1e-05,0.8698018193244934,0.9833821654319763,0.6879166960716248,0.6544444561004639
71,0.001,512.0,3.0,0.0001,0.9055383801460266,1.0428937673568726,0.6857870221138,0.6385185122489929
72,0.001,1024.0,1.0,0.0,1.1372840404510498,1.280961513519287,0.5981481671333313,0.5585185289382935
73,0.001,1024.0,1.0,1e-05,1.145821213722229,1.2341779470443726,0.596666693687439,0.5607407689094543
74,0.001,1024.0,1.0,0.0001,1.2774826288223267,1.3379757404327393,0.5619907379150391,0.5377777814865112
75,0.001,1024.0,2.0,0.0,1.0354851484298706,1.1109161376953125,0.6288425922393799,0.5970370173454285
76,0.001,1024.0,2.0,1e-05,0.9697346091270447,1.058735728263855,0.6574074029922485,0.622592568397522
77,0.001,1024.0,2.0,0.0001,1.0212032794952393,1.084544062614441,0.6435185074806213,0.6166666746139526
78,0.001,1024.0,3.0,0.0,0.8466477394104004,0.9875816702842712,0.6970370411872864,0.6562963128089905
79,0.001,1024.0,3.0,1e-05,0.9398868680000305,1.0385680198669434,0.6600925922393799,0.6281481385231018
80,0.001,1024.0,3.0,0.0001,0.9626718163490295,1.0471549034118652,0.665231466293335,0.6414814591407776
